transaction_id,sale_date,product_id,quantity_units_sold,price_per_unit_at_sale_INR,tax_percentage,discount_percentage,line_total_before_tax_discount,tax_amount,discount_amount,final_line_total_INR,payment_method
TR0005408,2024-07-21,P041,1,100.45,5,3.35,100.45,4.85,3.37,101.93,Cash
TR0005409,2024-07-21,P041,3,100.89,12,0.39,302.67,36.18,1.18,337.67,Cash
TR0005410,2024-07-21,P003,6,260.57,12,0.54,1563.42,186.6,8.44,1741.58,UPI
TR0005411,2024-07-21,P045,5,208.96,12,0.78,1044.8,124.4,8.15,1161.05,Cash
TR0005412,2024-07-21,P030,1,269.74,12,1.89,269.74,31.76,5.1,296.4,Cash
TR0005413,2024-07-21,P033,3,122.04,5,2.74,366.12,17.8,10.03,373.89,UPI
TR0005414,2024-07-21,P003,1,259.46,5,3.9,259.46,12.47,10.12,261.81,UPI
TR0005415,2024-07-21,P014,5,158.56,5,4.78,792.8,37.74,37.9,792.64,UPI
TR0005416,2024-07-21,P002,3,48.36,5,4.25,145.08,6.95,6.17,145.86,Cash
TR0005417,2024-07-21,P027,2,91.99,5,4.4,183.98,8.79,8.1,184.67,Cash
TR0005418,2024-07-21,P047,6,33.15,12,4.7,198.9,22.75,9.35,212.3,UPI
TR0005419,2024-07-21,P019,5,148.34,12,1.86,741.7,87.35,13.8,815.25,Card
TR0005420,2024-07-21,P082,5,212.26,5,2.97,1061.3,51.49,31.52,1081.27,UPI
TR0005421,2024-07-21,P038,2,48.06,12,0.4,96.12,11.49,0.38,107.23,UPI
TR0005422,2024-07-21,P046,4,197.12,5,3.93,788.48,37.87,30.99,795.36,UPI
TR0005423,2024-07-21,P002,6,49.13,12,2.41,294.78,34.52,7.1,322.2,UPI
TR0005424,2024-07-21,P091,2,73.23,5,0.06,146.46,7.32,0.09,153.69,Cash
TR0005425,2024-07-21,P097,4,146.78,12,2.02,587.12,69.03,11.86,644.29,UPI
TR0005426,2024-07-21,P003,4,263.82,12,4.35,1055.28,121.13,45.9,1130.51,Cash
TR0005427,2024-07-21,P049,6,396.92,5,4.56,2381.52,113.65,108.6,2386.57,Card
TR0005428,2024-07-21,P090,4,203.53,12,4.11,814.12,93.68,33.46,874.34,Cash
TR0005429,2024-07-21,P096,1,107.04,5,2.43,107.04,5.22,2.6,109.66,UPI
TR0005430,2024-07-21,P006,3,46.11,5,4.43,138.33,6.61,6.13,138.81,Card
TR0005431,2024-07-21,P003,6,254.69,12,4.6,1528.14,174.94,70.29,1632.79,Card
TR0005432,2024-07-21,P089,2,95.42,5,0.75,190.84,9.47,1.43,198.88,UPI
TR0005433,2024-07-21,P035,1,172.83,5,3.18,172.83,8.37,5.5,175.7,UPI
TR0005434,2024-07-21,P095,6,122.2,5,0.6,733.2,36.44,4.4,765.24,Cash
TR0005435,2024-07-21,P026,4,143.53,5,3.05,574.12,27.83,17.51,584.44,UPI
TR0005436,2024-07-21,P033,2,122.06,5,4.89,244.12,11.61,11.94,243.79,Card
TR0005437,2024-07-21,P079,3,109.55,5,2.44,328.65,16.03,8.02,336.66,UPI
TR0005438,2024-07-21,P024,4,63.61,12,0.68,254.44,30.33,1.73,283.04,UPI
TR0005439,2024-07-21,P095,2,115.95,5,0.06,231.9,11.59,0.14,243.35,Cash
TR0005440,2024-07-21,P050,1,45.25,5,0.89,45.25,2.24,0.4,47.09,Card
TR0005441,2024-07-21,P098,1,194.61,12,1.48,194.61,23.01,2.88,214.74,UPI
TR0005442,2024-07-22,P035,2,177.37,12,0.12,354.74,42.52,0.43,396.83,Card
TR0005443,2024-07-22,P031,1,222.81,5,1.06,222.81,11.02,2.36,231.47,Card
TR0005444,2024-07-22,P033,3,117.14,5,1.9,351.42,17.24,6.68,361.98,Card
TR0005445,2024-07-22,P031,4,234.29,5,0.36,937.16,46.69,3.37,980.48,Cash
TR0005446,2024-07-22,P006,1,46.38,5,2.52,46.38,2.26,1.17,47.47,Card
TR0005447,2024-07-22,P094,6,429.6,5,3.28,2577.6,124.65,84.55,2617.7,Card
TR0005448,2024-07-22,P045,4,205.12,12,3.7,820.48,94.81,30.36,884.93,UPI
TR0005449,2024-07-22,P084,3,244.62,5,4.43,733.86,35.07,32.51,736.42,UPI
TR0005450,2024-07-22,P085,6,224.35,12,3.84,1346.1,155.33,51.69,1449.74,UPI
TR0005451,2024-07-22,P003,5,264.0,5,3.71,1320.0,63.55,48.97,1334.58,Card
TR0005452,2024-07-22,P095,6,124.96,12,0.81,749.76,89.24,6.07,832.93,Cash
TR0005453,2024-07-22,P037,3,180.58,5,1.32,541.74,26.73,7.15,561.32,Cash
TR0005454,2024-07-22,P095,2,114.98,12,4.24,229.96,26.43,9.75,246.64,Cash
TR0005455,2024-07-22,P076,4,416.63,12,2.23,1666.52,195.52,37.16,1824.88,Cash
TR0005456,2024-07-22,P081,3,123.12,5,4.74,369.36,17.59,17.51,369.44,Cash
TR0005457,2024-07-22,P044,1,159.91,5,4.1,159.91,7.67,6.56,161.02,UPI
TR0005458,2024-07-22,P025,3,119.21,5,2.37,357.63,17.46,8.48,366.61,Cash
TR0005459,2024-07-22,P029,6,40.81,5,2.72,244.86,11.91,6.66,250.11,Cash
TR0005460,2024-07-22,P034,5,202.94,5,2.68,1014.7,49.38,27.19,1036.89,UPI
TR0005461,2024-07-22,P080,6,135.05,5,3.86,810.3,38.95,31.28,817.97,UPI
TR0005462,2024-07-22,P039,6,501.86,5,1.99,3011.16,147.56,59.92,3098.8,Card
TR0005463,2024-07-22,P085,4,219.94,5,0.67,879.76,43.69,5.89,917.56,Cash
TR0005464,2024-07-22,P092,1,57.58,5,4.82,57.58,2.74,2.78,57.54,UPI
TR0005465,2024-07-22,P079,4,114.93,12,0.64,459.72,54.81,2.94,511.59,Card
TR0005466,2024-07-22,P079,4,106.46,12,0.57,425.84,50.81,2.43,474.22,Cash
TR0005467,2024-07-22,P001,4,85.94,12,1.37,343.76,40.69,4.71,379.74,UPI
TR0005468,2024-07-22,P013,3,225.64,5,1.75,676.92,33.25,11.85,698.32,UPI
TR0005469,2024-07-22,P080,5,141.96,5,3.18,709.8,34.36,22.57,721.59,Card
TR0005470,2024-07-22,P044,2,163.46,12,4.63,326.92,37.41,15.14,349.19,UPI
TR0005471,2024-07-22,P098,6,207.54,12,4.06,1245.24,143.36,50.56,1338.04,Cash
TR0005472,2024-07-22,P099,3,115.28,12,0.17,345.84,41.43,0.59,386.68,UPI
TR0005473,2024-07-22,P032,6,92.28,5,0.5,553.68,27.55,2.77,578.46,UPI
TR0005474,2024-07-22,P046,6,199.07,5,3.39,1194.42,57.7,40.49,1211.63,UPI
TR0005475,2024-07-22,P045,6,220.32,5,3.1,1321.92,64.05,40.98,1344.99,Card
TR0005476,2024-07-22,P029,2,40.7,12,2.44,81.4,9.53,1.99,88.94,Card
TR0005477,2024-07-22,P079,1,111.95,12,3.19,111.95,13.01,3.57,121.39,UPI
TR0005478,2024-07-22,P045,6,213.8,5,1.15,1282.8,63.4,14.75,1331.45,UPI
TR0005479,2024-07-22,P012,4,243.84,5,2.17,975.36,47.71,21.17,1001.9,UPI
TR0005480,2024-07-22,P091,1,71.18,12,1.99,71.18,8.37,1.42,78.13,UPI
TR0005481,2024-07-22,P025,1,124.73,5,1.76,124.73,6.13,2.2,128.66,Cash
TR0005482,2024-07-22,P028,3,86.19,12,4.08,258.57,29.76,10.55,277.78,Cash
TR0005483,2024-07-22,P042,4,80.75,12,2.21,323.0,37.9,7.14,353.76,UPI
TR0005484,2024-07-22,P032,3,92.34,12,4.51,277.02,31.74,12.49,296.27,Card
TR0005485,2024-07-22,P085,4,220.33,12,3.73,881.32,101.81,32.87,950.26,Cash
TR0005486,2024-07-22,P078,3,88.63,5,3.01,265.89,12.89,8.0,270.78,Cash
TR0005487,2024-07-22,P093,2,396.48,12,0.12,792.96,95.04,0.95,887.05,UPI
TR0005488,2024-07-22,P023,5,102.92,5,2.1,514.6,25.19,10.81,528.98,Cash
TR0005489,2024-07-22,P006,5,45.7,12,2.63,228.5,26.7,6.01,249.19,Cash
TR0005490,2024-07-22,P082,4,216.72,5,0.51,866.88,43.12,4.42,905.58,Cash
TR0005491,2024-07-22,P013,2,230.12,12,1.97,460.24,54.14,9.07,505.31,Card
TR0005492,2024-07-22,P001,3,88.2,12,4.87,264.6,30.21,12.89,281.92,UPI
TR0005493,2024-07-22,P085,4,224.83,5,4.25,899.32,43.06,38.22,904.16,Cash
TR0005494,2024-07-23,P077,5,69.73,5,2.06,348.65,17.07,7.18,358.54,Cash
TR0005495,2024-07-23,P048,1,264.83,5,1.86,264.83,12.99,4.93,272.89,UPI
TR0005496,2024-07-23,P096,3,103.5,12,0.15,310.5,37.2,0.47,347.23,UPI
TR0005497,2024-07-23,P001,6,81.56,12,1.3,489.36,57.96,6.36,540.96,Card
TR0005498,2024-07-23,P006,4,46.18,12,2.67,184.72,21.57,4.93,201.36,UPI
TR0005499,2024-07-23,P029,5,42.56,5,0.89,212.8,10.55,1.89,221.46,Card
TR0005500,2024-07-23,P031,2,221.74,12,2.7,443.48,51.78,11.97,483.29,UPI
TR0005501,2024-07-23,P017,3,123.5,12,4.13,370.5,42.62,15.3,397.82,UPI
TR0005502,2024-07-23,P050,1,45.37,12,4.03,45.37,5.22,1.83,48.76,Card
TR0005503,2024-07-23,P046,3,194.38,12,0.49,583.14,69.63,2.86,649.91,UPI
TR0005504,2024-07-23,P014,1,163.37,12,3.37,163.37,18.94,5.51,176.8,Card
TR0005505,2024-07-23,P098,6,206.85,5,3.15,1241.1,60.1,39.09,1262.11,UPI
TR0005506,2024-07-23,P031,3,225.56,12,2.8,676.68,78.93,18.95,736.66,UPI
TR0005507,2024-07-23,P018,4,114.88,5,4.43,459.52,21.96,20.36,461.12,Card
TR0005508,2024-07-23,P042,4,81.72,12,0.97,326.88,38.85,3.17,362.56,UPI
TR0005509,2024-07-23,P013,6,225.15,12,2.44,1350.9,158.15,32.96,1476.09,Card
TR0005510,2024-07-23,P001,6,83.01,5,0.83,498.06,24.7,4.13,518.63,UPI
TR0005511,2024-07-23,P034,1,196.55,12,1.63,196.55,23.2,3.2,216.55,UPI
TR0005512,2024-07-23,P020,6,34.68,12,2.1,208.08,24.45,4.37,228.16,Card
TR0005513,2024-07-23,P079,6,107.74,12,4.83,646.44,73.83,31.22,689.05,UPI
TR0005514,2024-07-23,P022,2,162.65,12,1.6,325.3,38.41,5.2,358.51,Cash
TR0005515,2024-07-23,P006,1,46.82,12,2.9,46.82,5.46,1.36,50.92,Cash
TR0005516,2024-07-23,P016,5,183.0,5,0.03,915.0,45.74,0.27,960.47,Cash
TR0005517,2024-07-23,P025,4,119.58,12,4.33,478.32,54.91,20.71,512.52,UPI
TR0005518,2024-07-23,P021,6,155.13,5,0.26,930.78,46.42,2.42,974.78,Cash
TR0005519,2024-07-23,P008,5,153.12,12,2.86,765.6,89.24,21.9,832.94,Cash
TR0005520,2024-07-23,P027,6,90.59,12,4.72,543.54,62.15,25.66,580.03,Card
TR0005521,2024-07-23,P047,3,32.14,5,4.88,96.42,4.59,4.71,96.3,UPI
TR0005522,2024-07-23,P017,4,128.15,5,4.16,512.6,24.56,21.32,515.84,UPI
TR0005523,2024-07-23,P020,6,34.66,5,1.66,207.96,10.23,3.45,214.74,Cash
TR0005524,2024-07-23,P022,6,168.02,5,2.8,1008.12,48.99,28.23,1028.88,UPI
TR0005525,2024-07-23,P088,6,229.38,12,1.76,1376.28,162.25,24.22,1514.31,Cash
TR0005526,2024-07-23,P019,6,147.25,5,1.8,883.5,43.38,15.9,910.98,UPI
TR0005527,2024-07-23,P084,2,255.49,5,1.31,510.98,25.21,6.69,529.5,UPI
TR0005528,2024-07-23,P092,5,58.17,12,0.41,290.85,34.76,1.19,324.42,UPI
TR0005529,2024-07-23,P042,5,80.44,5,0.09,402.2,20.09,0.36,421.93,UPI
TR0005530,2024-07-23,P078,1,86.61,5,4.9,86.61,4.12,4.24,86.49,UPI
TR0005531,2024-07-23,P039,1,480.05,12,3.14,480.05,55.8,15.07,520.78,Cash
TR0005532,2024-07-23,P024,4,65.25,5,1.37,261.0,12.87,3.58,270.29,Card
TR0005533,2024-07-23,P011,1,47.9,5,2.37,47.9,2.34,1.14,49.1,Cash
TR0005534,2024-07-23,P044,5,163.18,12,1.35,815.9,96.59,11.01,901.48,Card
TR0005535,2024-07-23,P099,2,119.28,12,1.73,238.56,28.13,4.13,262.56,UPI
TR0005536,2024-07-23,P089,6,91.38,5,4.14,548.28,26.28,22.7,551.86,UPI
TR0005537,2024-07-23,P003,3,256.18,5,0.4,768.54,38.27,3.07,803.74,Card
TR0005538,2024-07-23,P027,6,91.26,12,2.23,547.56,64.24,12.21,599.59,UPI
TR0005539,2024-07-23,P017,3,123.26,12,4.37,369.78,42.43,16.16,396.05,Card
TR0005540,2024-07-23,P096,3,104.51,5,0.01,313.53,15.68,0.03,329.18,Card
TR0005541,2024-07-23,P097,1,137.02,5,1.9,137.02,6.72,2.6,141.14,Cash
TR0005542,2024-07-23,P024,3,65.41,12,3.92,196.23,22.62,7.69,211.16,UPI
TR0005543,2024-07-23,P045,1,211.43,5,1.97,211.43,10.36,4.17,217.62,UPI
TR0005544,2024-07-23,P018,3,117.41,12,0.25,352.23,42.16,0.88,393.51,Card
TR0005545,2024-07-23,P086,6,132.93,5,4.19,797.58,38.21,33.42,802.37,UPI
TR0005546,2024-07-23,P037,4,172.66,5,4.72,690.64,32.9,32.6,690.94,UPI
TR0005547,2024-07-23,P082,2,211.8,5,4.72,423.6,20.18,19.99,423.79,Cash
TR0005548,2024-07-23,P008,1,163.59,12,1.25,163.59,19.39,2.04,180.94,UPI
TR0005549,2024-07-23,P011,5,45.29,12,4.45,226.45,25.96,10.08,242.33,Cash
TR0005550,2024-07-23,P021,2,145.35,12,4.38,290.7,33.36,12.73,311.33,Card
TR0005551,2024-07-23,P081,5,122.94,5,4.65,614.7,29.31,28.58,615.43,Card
TR0005552,2024-07-23,P083,3,48.08,12,0.69,144.24,17.19,1.0,160.43,UPI
TR0005553,2024-07-24,P050,5,44.02,12,3.81,220.1,25.41,8.39,237.12,Card
TR0005554,2024-07-24,P090,4,207.01,12,1.55,828.04,97.83,12.83,913.04,UPI
TR0005555,2024-07-24,P029,1,39.98,5,1.72,39.98,1.96,0.69,41.25,Card
TR0005556,2024-07-24,P034,3,201.29,5,1.43,603.87,29.76,8.64,624.99,UPI
TR0005557,2024-07-24,P018,5,112.47,12,1.44,562.35,66.51,8.1,620.76,Cash
TR0005558,2024-07-24,P016,6,181.77,12,0.18,1090.62,130.64,1.96,1219.3,UPI
TR0005559,2024-07-24,P028,2,82.48,12,3.02,164.96,19.2,4.98,179.18,Card
TR0005560,2024-07-24,P009,5,108.83,12,3.24,544.15,63.18,17.63,589.7,Cash
TR0005561,2024-07-24,P082,3,211.5,12,1.63,634.5,74.9,10.34,699.06,Card
TR0005562,2024-07-24,P099,5,125.51,5,1.23,627.55,30.99,7.72,650.82,UPI
TR0005563,2024-07-24,P010,5,142.89,12,4.24,714.45,82.1,30.29,766.26,Card
TR0005564,2024-07-24,P011,5,45.25,5,3.57,226.25,10.91,8.08,229.08,Card
TR0005565,2024-07-24,P084,3,256.69,5,1.9,770.07,37.77,14.63,793.21,Card
TR0005566,2024-07-24,P001,5,85.82,5,2.19,429.1,20.99,9.4,440.69,Card
TR0005567,2024-07-24,P079,5,112.69,12,1.26,563.45,66.76,7.1,623.11,UPI
TR0005568,2024-07-24,P040,4,190.6,5,3.58,762.4,36.76,27.29,771.87,Card
TR0005569,2024-07-24,P093,6,386.83,12,1.92,2320.98,273.17,44.56,2549.59,UPI
TR0005570,2024-07-24,P008,5,156.81,5,3.95,784.05,37.65,30.97,790.73,Card
TR0005571,2024-07-24,P021,6,146.14,12,4.19,876.84,100.81,36.74,940.91,UPI
TR0005572,2024-07-24,P042,2,81.84,5,4.96,163.68,7.78,8.12,163.34,Cash
TR0005573,2024-07-24,P088,3,215.99,12,4.63,647.97,74.16,30.0,692.13,UPI
TR0005574,2024-07-24,P082,4,209.8,12,2.83,839.2,97.85,23.75,913.3,Cash
TR0005575,2024-07-24,P079,5,105.24,5,2.48,526.2,25.66,13.05,538.81,Cash
TR0005576,2024-07-24,P027,1,92.31,5,1.74,92.31,4.54,1.61,95.24,Card
TR0005577,2024-07-24,P034,3,196.12,5,1.01,588.36,29.12,5.94,611.54,Card
TR0005578,2024-07-24,P008,6,155.02,12,1.6,930.12,109.83,14.88,1025.07,Card
TR0005579,2024-07-24,P050,2,46.03,12,1.35,92.06,10.9,1.24,101.72,Cash
TR0005580,2024-07-24,P037,5,168.11,12,1.01,840.55,99.85,8.49,931.91,Card
TR0005581,2024-07-24,P020,2,33.08,12,3.17,66.16,7.69,2.1,71.75,Cash
TR0005582,2024-07-24,P010,1,147.03,5,3.91,147.03,7.06,5.75,148.34,Card
TR0005583,2024-07-24,P038,3,48.74,12,3.4,146.22,16.95,4.97,158.2,Cash
TR0005584,2024-07-24,P049,2,388.07,12,1.99,776.14,91.28,15.45,851.97,Cash
TR0005585,2024-07-24,P023,5,102.48,12,0.19,512.4,61.37,0.97,572.8,Cash
TR0005586,2024-07-24,P013,3,231.26,5,1.34,693.78,34.22,9.3,718.7,UPI
TR0005587,2024-07-24,P030,3,284.55,5,2.37,853.65,41.67,20.23,875.09,UPI
TR0005588,2024-07-24,P049,5,392.86,12,3.65,1964.3,227.11,71.7,2119.71,UPI
TR0005589,2024-07-24,P047,2,33.22,5,4.11,66.44,3.19,2.73,66.9,Cash
TR0005590,2024-07-24,P086,2,138.16,12,0.18,276.32,33.1,0.5,308.92,Card
TR0005591,2024-07-24,P047,2,32.06,12,4.47,64.12,7.35,2.87,68.6,Cash
TR0005592,2024-07-24,P003,1,251.28,5,2.37,251.28,12.27,5.96,257.59,UPI
TR0005593,2024-07-24,P035,1,169.85,5,3.76,169.85,8.17,6.39,171.63,Card
TR0005594,2024-07-24,P029,2,41.17,12,2.01,82.34,9.68,1.66,90.36,UPI
TR0005595,2024-07-24,P097,1,142.69,5,2.78,142.69,6.94,3.97,145.66,Cash
TR0005596,2024-07-24,P082,3,208.89,12,2.9,626.67,73.02,18.17,681.52,Cash
TR0005597,2024-07-24,P045,6,206.97,5,4.13,1241.82,59.53,51.29,1250.06,Cash
TR0005598,2024-07-24,P001,4,86.71,5,2.03,346.84,16.99,7.04,356.79,Card
TR0005599,2024-07-24,P002,3,46.3,12,0.13,138.9,16.65,0.18,155.37,Card
TR0005600,2024-07-24,P002,3,47.06,12,1.74,141.18,16.65,2.46,155.37,Card
TR0005601,2024-07-24,P005,6,53.73,12,4.34,322.38,37.01,13.99,345.4,Card
TR0005602,2024-07-24,P018,2,111.74,12,0.91,223.48,26.57,2.03,248.02,Card
TR0005603,2024-07-25,P077,2,69.0,5,4.34,138.0,6.6,5.99,138.61,Card
TR0005604,2024-07-25,P086,1,136.32,5,1.91,136.32,6.69,2.6,140.41,Cash
TR0005605,2024-07-25,P011,6,49.01,5,4.23,294.06,14.08,12.44,295.7,UPI
TR0005606,2024-07-25,P007,2,165.8,5,0.67,331.6,16.47,2.22,345.85,Cash
TR0005607,2024-07-25,P096,4,107.2,5,1.35,428.8,21.15,5.79,444.16,UPI
TR0005608,2024-07-25,P037,3,171.12,5,1.31,513.36,25.33,6.73,531.96,UPI
TR0005609,2024-07-25,P037,2,166.31,5,3.46,332.62,16.06,11.51,337.17,UPI
TR0005610,2024-07-25,P013,2,217.88,5,2.72,435.76,21.2,11.85,445.11,UPI
TR0005611,2024-07-25,P031,3,215.24,12,2.84,645.72,75.29,18.34,702.67,UPI
TR0005612,2024-07-25,P043,2,155.27,12,4.87,310.54,35.45,15.12,330.87,Cash
TR0005613,2024-07-25,P088,4,218.74,12,4.47,874.96,100.3,39.11,936.15,UPI
TR0005614,2024-07-25,P078,6,88.53,12,1.43,531.18,62.83,7.6,586.41,UPI
TR0005615,2024-07-25,P084,4,247.82,12,1.08,991.28,117.67,10.71,1098.24,Cash
TR0005616,2024-07-25,P001,5,82.99,12,0.2,414.95,49.69,0.83,463.81,Cash
TR0005617,2024-07-25,P031,4,215.09,12,4.74,860.36,98.35,40.78,917.93,Cash
TR0005618,2024-07-25,P043,4,150.89,5,2.11,603.56,29.54,12.74,620.36,Card
TR0005619,2024-07-25,P026,4,139.2,5,1.46,556.8,27.43,8.13,576.1,UPI
TR0005620,2024-07-25,P099,4,122.73,12,0.98,490.92,58.33,4.81,544.44,UPI
TR0005621,2024-07-25,P039,2,505.08,5,0.32,1010.16,50.35,3.23,1057.28,Card
TR0005622,2024-07-25,P021,2,147.95,5,4.73,295.9,14.09,14.0,295.99,Cash
TR0005623,2024-07-25,P011,2,47.6,12,0.88,95.2,11.32,0.84,105.68,Cash
TR0005624,2024-07-25,P004,4,320.37,5,3.86,1281.48,61.6,49.47,1293.61,UPI
TR0005625,2024-07-25,P006,6,47.44,12,1.5,284.64,33.64,4.27,314.01,Cash
TR0005626,2024-07-25,P021,2,154.13,5,1.26,308.26,15.22,3.88,319.6,Card
TR0005627,2024-07-25,P004,5,337.67,5,2.88,1688.35,81.99,48.62,1721.72,Cash
TR0005628,2024-07-25,P045,1,205.29,5,3.47,205.29,9.91,7.12,208.08,UPI
TR0005629,2024-07-25,P026,6,150.23,12,0.56,901.38,107.56,5.05,1003.89,Cash
TR0005630,2024-07-25,P096,6,109.36,5,1.04,656.16,32.47,6.82,681.81,UPI
TR0005631,2024-07-25,P100,3,160.09,5,3.66,480.27,23.13,17.58,485.82,UPI
TR0005632,2024-07-25,P032,1,93.19,12,1.7,93.19,10.99,1.58,102.6,Card
TR0005633,2024-07-25,P045,1,210.1,5,1.73,210.1,10.32,3.63,216.79,Card
TR0005634,2024-07-25,P024,6,65.91,5,0.07,395.46,19.76,0.28,414.94,Card
TR0005635,2024-07-25,P009,5,112.58,12,2.51,562.9,65.85,14.13,614.62,Card
TR0005636,2024-07-25,P084,3,245.02,12,0.84,735.06,87.47,6.17,816.36,UPI
TR0005637,2024-07-25,P096,2,107.84,12,4.35,215.68,24.76,9.38,231.06,Cash
TR0005638,2024-07-25,P049,5,383.72,5,2.29,1918.6,93.73,43.94,1968.39,UPI
TR0005639,2024-07-25,P043,2,154.04,12,4.01,308.08,35.49,12.35,331.22,UPI
TR0005640,2024-07-25,P034,6,186.79,5,3.73,1120.74,53.95,41.8,1132.89,Cash
TR0005641,2024-07-25,P048,3,272.21,5,3.27,816.63,39.5,26.7,829.43,Cash
TR0005642,2024-07-25,P078,4,87.93,5,3.93,351.72,16.9,13.82,354.8,UPI
TR0005643,2024-07-25,P007,6,161.93,12,1.51,971.58,114.83,14.67,1071.74,Cash
TR0005644,2024-07-26,P035,2,175.53,12,3.8,351.06,40.53,13.34,378.25,UPI
TR0005645,2024-07-26,P081,3,116.91,5,0.7,350.73,17.41,2.46,365.68,Card
TR0005646,2024-07-26,P038,2,49.2,5,3.48,98.4,4.75,3.42,99.73,Cash
TR0005647,2024-07-26,P045,2,218.1,12,0.95,436.2,51.85,4.14,483.91,Cash
TR0005648,2024-07-26,P043,6,156.55,12,2.67,939.3,109.71,25.08,1023.93,UPI
TR0005649,2024-07-26,P047,2,34.35,5,3.74,68.7,3.31,2.57,69.44,Cash
TR0005650,2024-07-26,P047,2,34.39,12,1.38,68.78,8.14,0.95,75.97,Card
TR0005651,2024-07-26,P096,4,100.69,12,3.25,402.76,46.76,13.09,436.43,UPI
TR0005652,2024-07-26,P037,2,174.76,5,0.19,349.52,17.44,0.66,366.3,UPI
TR0005653,2024-07-26,P084,5,235.51,5,3.66,1177.55,56.72,43.1,1191.17,UPI
TR0005654,2024-07-26,P018,3,120.92,12,2.62,362.76,42.39,9.5,395.65,Cash
TR0005655,2024-07-26,P039,2,464.39,12,1.54,928.78,109.74,14.3,1024.22,UPI
TR0005656,2024-07-26,P004,3,324.08,5,4.13,972.24,46.6,40.15,978.69,UPI
TR0005657,2024-07-26,P008,4,154.84,5,3.44,619.36,29.9,21.31,627.95,UPI
TR0005658,2024-07-26,P038,5,48.57,5,1.42,242.85,11.97,3.45,251.37,UPI
TR0005659,2024-07-26,P079,3,104.86,12,0.43,314.58,37.59,1.35,350.82,Cash
TR0005660,2024-07-26,P006,6,48.19,5,0.38,289.14,14.4,1.1,302.44,Card
TR0005661,2024-07-26,P002,2,45.52,12,2.75,91.04,10.62,2.5,99.16,Cash
TR0005662,2024-07-26,P002,4,47.22,12,3.24,188.88,21.93,6.12,204.69,Card
TR0005663,2024-07-26,P030,3,286.83,12,2.02,860.49,101.17,17.38,944.28,UPI
TR0005664,2024-07-26,P035,6,163.49,12,2.37,980.94,114.92,23.25,1072.61,UPI
TR0005665,2024-07-26,P044,2,167.16,5,0.52,334.32,16.63,1.74,349.21,Card
TR0005666,2024-07-26,P011,6,47.29,12,4.23,283.74,32.61,12.0,304.35,Card
TR0005667,2024-07-26,P048,5,257.69,5,0.18,1288.45,64.31,2.32,1350.44,Cash
TR0005668,2024-07-26,P079,3,104.36,12,4.77,313.08,35.78,14.93,333.93,Card
TR0005669,2024-07-26,P041,3,98.84,5,2.48,296.52,14.46,7.35,303.63,Card
TR0005670,2024-07-26,P024,2,61.44,5,1.61,122.88,6.04,1.98,126.94,Cash
TR0005671,2024-07-26,P040,3,198.76,5,1.5,596.28,29.37,8.94,616.71,Cash
TR0005672,2024-07-26,P081,6,123.13,12,3.37,738.78,85.67,24.9,799.55,Cash
TR0005673,2024-07-26,P030,2,272.27,5,3.36,544.54,26.31,18.3,552.55,UPI
TR0005674,2024-07-26,P099,2,123.62,5,4.72,247.24,11.78,11.67,247.35,UPI
TR0005675,2024-07-26,P008,1,165.12,5,0.82,165.12,8.19,1.35,171.96,UPI
TR0005676,2024-07-26,P083,6,45.18,5,3.31,271.08,13.11,8.97,275.22,UPI
TR0005677,2024-07-26,P092,4,62.78,12,3.66,251.12,29.03,9.19,270.96,Card
TR0005678,2024-07-26,P033,5,113.33,12,1.32,566.65,67.1,7.48,626.27,Cash
TR0005679,2024-07-26,P043,1,146.03,12,1.3,146.03,17.3,1.9,161.43,Cash
TR0005680,2024-07-26,P094,6,447.02,12,4.2,2682.12,308.34,112.65,2877.81,Card
TR0005681,2024-07-26,P011,1,46.81,5,2.83,46.81,2.27,1.32,47.76,UPI
TR0005682,2024-07-26,P085,2,235.75,5,0.1,471.5,23.55,0.47,494.58,Card
TR0005683,2024-07-26,P089,5,94.51,12,2.28,472.55,55.41,10.77,517.19,UPI
TR0005684,2024-07-26,P089,1,94.45,5,1.26,94.45,4.66,1.19,97.92,Cash
TR0005685,2024-07-26,P029,6,41.27,5,0.95,247.62,12.26,2.35,257.53,Cash
TR0005686,2024-07-26,P084,5,237.94,5,3.36,1189.7,57.49,39.97,1207.22,Card
TR0005687,2024-07-26,P050,6,43.14,5,2.23,258.84,12.65,5.77,265.72,Cash
TR0005688,2024-07-26,P042,6,77.45,5,1.91,464.7,22.79,8.88,478.61,Card
TR0005689,2024-07-26,P079,5,108.89,5,4.89,544.45,25.89,26.62,543.72,Cash
TR0005690,2024-07-26,P001,6,83.42,5,3.71,500.52,24.1,18.57,506.05,Cash
TR0005691,2024-07-26,P087,4,41.02,5,3.79,164.08,7.89,6.22,165.75,Cash
TR0005692,2024-07-26,P079,2,113.99,5,1.09,227.98,11.28,2.48,236.78,UPI
TR0005693,2024-07-26,P045,1,207.63,12,3.21,207.63,24.12,6.66,225.09,Card
TR0005694,2024-07-26,P044,3,158.5,5,3.24,475.5,23.0,15.41,483.09,Card
TR0005695,2024-07-26,P007,6,166.8,5,0.22,1000.8,49.93,2.2,1048.53,UPI
TR0005696,2024-07-26,P047,1,34.23,5,1.76,34.23,1.68,0.6,35.31,Card
